image,index,method,n_dets,total_ms,tp,fp,ignored,valid_gt,small_gt,small_tp,recall_small,precision
0000006_04309_d_0000011.jpg,9,F1280,36,34.10910000093281,19,17,0,28,13,9,0.6923076923076923,0.5277777777777778
0000006_04309_d_0000011.jpg,9,DensK1,37,33.02689999691211,16,21,0,28,13,7,0.5384615384615384,0.43243243243243246
0000006_04309_d_0000011.jpg,9,UnifAll,55,109.41350000211969,14,41,0,28,13,6,0.46153846153846156,0.2545454545454545
0000006_04309_d_0000011.jpg,9,SAHI640,33,277.9201999946963,5,28,0,28,13,2,0.15384615384615385,0.15151515151515152
0000006_05168_d_0000013.jpg,10,F640,19,16.90279999456834,14,5,0,24,2,0,0.0,0.7368421052631579
0000006_05168_d_0000013.jpg,10,F1280,21,32.92620000138413,15,6,0,24,2,1,0.5,0.7142857142857143
0000006_05168_d_0000013.jpg,10,DensK1,24,39.77480001049116,15,9,0,24,2,0,0.0,0.625
0000006_05168_d_0000013.jpg,10,UnifAll,35,111.44819999753963,19,16,0,24,2,1,0.5,0.5428571428571428
0000006_05168_d_0000013.jpg,10,SAHI640,31,347.9596999968635,11,20,0,24,2,1,0.5,0.3548387096774194
0000006_05208_d_0000014.jpg,11,F640,16,16.901199996937066,10,6,0,12,0,0,nan,0.625
0000006_05208_d_0000014.jpg,11,F1280,15,32.328000001143664,8,7,0,12,0,0,nan,0.5333333333333333
0000006_05208_d_0000014.jpg,11,DensK1,19,36.22660000110045,10,9,0,12,0,0,nan,0.5263157894736842
0000006_05208_d_0000014.jpg,11,UnifAll,23,101.09309999097604,9,14,0,12,0,0,nan,0.391304347826087
0000006_05208_d_0000014.jpg,11,SAHI640,9,209.8102000018116,2,7,0,12,0,0,nan,0.2222222222222222
0000006_05575_d_0000016.jpg,12,F640,18,16.872399995918386,15,3,0,15,0,0,nan,0.8333333333333334
0000006_05575_d_0000016.jpg,12,F1280,17,31.078900006832555,14,3,0,15,0,0,nan,0.8235294117647058
0000006_05575_d_0000016.jpg,12,DensK1,18,37.060300004668534,15,3,0,15,0,0,nan,0.8333333333333334
0000006_05575_d_0000016.jpg,12,UnifAll,22,120.1333000062732,15,7,0,15,0,0,nan,0.6818181818181818
0000006_05575_d_0000016.jpg,12,SAHI640,22,188.9316000015242,6,16,0,15,0,0,nan,0.2727272727272727
0000006_05999_d_0000017.jpg,13,F640,70,22.531900001922622,40,30,0,60,7,6,0.8571428571428571,0.5714285714285714
0000006_05999_d_0000017.jpg,13,F1280,85,32.27580001112074,39,46,0,60,7,6,0.8571428571428571,0.4588235294117647
0000006_05999_d_0000017.jpg,13,DensK1,86,39.81790000398178,42,43,0,60,7,6,0.8571428571428571,0.49411764705882355
0000006_05999_d_0000017.jpg,13,UnifAll,128,100.03699999651872,50,77,0,60,7,6,0.8571428571428571,0.3937007874015748
0000006_05999_d_0000017.jpg,13,SAHI640,97,367.016500007594,27,69,0,60,7,5,0.7142857142857143,0.28125
0000006_06773_d_0000018.jpg,14,F640,44,17.42049999302253,28,16,0,38,6,5,0.8333333333333334,0.6363636363636364
0000006_06773_d_0000018.jpg,14,F1280,45,35.557200011680834,25,20,0,38,6,5,0.8333333333333334,0.5555555555555556
0000006_06773_d_0000018.jpg,14,DensK1,47,31.52240000781603,29,18,0,38,6,5,0.8333333333333334,0.6170212765957447
0000006_06773_d_0000018.jpg,14,UnifAll,71,112.32200000085868,29,42,0,38,6,6,1.0,0.4084507042253521
0000006_06773_d_0000018.jpg,14,SAHI640,54,277.54550000827294,10,44,0,38,6,3,0.5,0.18518518518518517
0000006_07596_d_0000020.jpg,15,F640,11,15.455600005225278,4,7,0,12,5,0,0.0,0.36363636363636365
0000006_07596_d_0000020.jpg,15,F1280,14,33.483400009572506,6,8,0,12,5,0,0.0,0.42857142857142855
0000006_07596_d_0000020.jpg,15,DensK1,13,38.09729999920819,5,8,0,12,5,0,0.0,0.38461538461538464
0000006_07596_d_0000020.jpg,15,UnifAll,19,130.2012999949511,5,14,0,12,5,0,0.0,0.2631578947368421
0000006_07596_d_0000020.jpg,15,SAHI640,19,317.73429999884684,3,16,0,12,5,0,0.0,0.15789473684210525
0000011_00234_d_0000001.jpg,16,F640,34,14.698699989821762,22,12,0,112,81,21,0.25925925925925924,0.6470588235294118
0000011_00234_d_0000001.jpg,16,F1280,55,35.87289999995846,31,21,0,112,81,28,0.345679012345679,0.5961538461538461
0000011_00234_d_0000001.jpg,16,DensK1,44,38.93429999880027,26,18,0,112,81,25,0.30864197530864196,0.5909090909090909
0000011_00234_d_0000001.jpg,16,UnifAll,81,113.76619999646209,33,45,0,112,81,30,0.37037037037037035,0.4230769230769231
0000011_00234_d_0000001.jpg,16,SAHI640,62,390.60309999331366,17,42,0,112,81,15,0.18518518518518517,0.288135593220339
0000011_01350_d_0000003.jpg,17,F640,19,22.18999998876825,7,12,0,39,20,5,0.25,0.3684210526315789
0000011_01350_d_0000003.jpg,17,F1280,21,35.40480000083335,8,13,0,39,20,5,0.25,0.38095238095238093
0000011_01350_d_0000003.jpg,17,DensK1,25,29.974900011438876,8,17,0,39,20,6,0.3,0.32
0000011_01350_d_0000003.jpg,17,UnifAll,43,107.31949999171775,10,33,0,39,20,7,0.35,0.23255813953488372
0000011_01350_d_0000003.jpg,17,SAHI640,41,499.60969999665394,5,36,0,39,20,3,0.15,0.12195121951219512
0000011_01955_d_0000004.jpg,18,F640,56,18.658300003153272,23,33,0,54,26,13,0.5,0.4107142857142857
0000011_01955_d_0000004.jpg,18,F1280,41,35.00849999545608,22,18,0,54,26,16,0.6153846153846154,0.55
0000011_01955_d_0000004.jpg,18,DensK1,68,39.94529999908991,27,41,0,54,26,16,0.6153846153846154,0.39705882352941174
