image,method,tp,fp,ignored,small_gt,small_tp,precision,recall_small
0000280_02201_d_0000623.jpg,DensK1,46,13,0,57,24,0.7796610169491526,0.42105263157894735
0000280_02201_d_0000623.jpg,UnifAll,58,30,0,57,36,0.6590909090909091,0.631578947368421
0000280_02201_d_0000623.jpg,SAHI640,29,49,0,57,15,0.3717948717948718,0.2631578947368421
0000295_02900_d_0000034.jpg,F640,100,30,0,172,67,0.7692307692307693,0.38953488372093026
0000295_02900_d_0000034.jpg,F1280,133,40,0,172,98,0.7687861271676301,0.5697674418604651
0000295_02900_d_0000034.jpg,DensK1,119,55,0,172,86,0.6839080459770115,0.5
0000295_02900_d_0000034.jpg,UnifAll,148,84,0,172,112,0.6379310344827587,0.6511627906976745
0000295_02900_d_0000034.jpg,SAHI640,90,100,0,172,58,0.47368421052631576,0.3372093023255814
0000244_01000_d_0000003.jpg,F640,18,17,0,114,10,0.5142857142857142,0.08771929824561403
0000244_01000_d_0000003.jpg,F1280,40,25,0,114,32,0.6153846153846154,0.2807017543859649
0000244_01000_d_0000003.jpg,DensK1,32,29,0,114,24,0.5245901639344263,0.21052631578947367
0000244_01000_d_0000003.jpg,UnifAll,33,30,0,114,25,0.5238095238095238,0.21929824561403508
0000244_01000_d_0000003.jpg,SAHI640,25,34,0,114,17,0.423728813559322,0.14912280701754385
0000330_00001_d_0000800.jpg,F640,41,10,0,55,19,0.803921568627451,0.34545454545454546
0000330_00001_d_0000800.jpg,F1280,62,12,0,55,38,0.8378378378378378,0.6909090909090909
0000330_00001_d_0000800.jpg,DensK1,50,23,0,55,27,0.684931506849315,0.4909090909090909
0000330_00001_d_0000800.jpg,UnifAll,62,39,0,55,40,0.6138613861386139,0.7272727272727273
0000330_00001_d_0000800.jpg,SAHI640,35,52,0,55,17,0.40229885057471265,0.3090909090909091
0000213_04405_d_0000244.jpg,F640,47,15,0,62,14,0.7580645161290323,0.22580645161290322
0000213_04405_d_0000244.jpg,F1280,60,23,0,62,23,0.7228915662650602,0.3709677419354839
0000213_04405_d_0000244.jpg,DensK1,59,32,0,62,23,0.6483516483516484,0.3709677419354839
0000213_04405_d_0000244.jpg,UnifAll,67,49,0,62,26,0.5775862068965517,0.41935483870967744
0000213_04405_d_0000244.jpg,SAHI640,44,55,0,62,13,0.4444444444444444,0.20967741935483872
0000356_02745_d_0000643.jpg,F640,31,14,0,74,16,0.6888888888888889,0.21621621621621623
0000356_02745_d_0000643.jpg,F1280,47,41,0,74,31,0.5340909090909091,0.4189189189189189
0000356_02745_d_0000643.jpg,DensK1,47,31,0,74,31,0.6025641025641025,0.4189189189189189
0000356_02745_d_0000643.jpg,UnifAll,51,57,0,74,35,0.4722222222222222,0.47297297297297297
0000356_02745_d_0000643.jpg,SAHI640,28,65,0,74,14,0.3010752688172043,0.1891891891891892
0000026_02000_d_0000028.jpg,F640,9,2,0,0,0,0.8181818181818182,0.0
0000026_02000_d_0000028.jpg,F1280,9,3,0,0,0,0.75,0.0
0000026_02000_d_0000028.jpg,DensK1,9,3,0,0,0,0.75,0.0
0000026_02000_d_0000028.jpg,UnifAll,8,10,0,0,0,0.4444444444444444,0.0
0000026_02000_d_0000028.jpg,SAHI640,8,9,0,0,0,0.47058823529411764,0.0
0000196_04512_d_0000144.jpg,F640,19,7,0,62,13,0.7307692307692307,0.20967741935483872
0000196_04512_d_0000144.jpg,F1280,32,12,0,62,26,0.7272727272727273,0.41935483870967744
0000196_04512_d_0000144.jpg,DensK1,31,20,0,62,25,0.6078431372549019,0.4032258064516129
0000196_04512_d_0000144.jpg,UnifAll,39,26,0,62,33,0.6,0.532258064516129
0000196_04512_d_0000144.jpg,SAHI640,26,36,0,62,20,0.41935483870967744,0.3225806451612903
0000026_01500_d_0000027.jpg,F640,9,3,0,0,0,0.75,0.0
0000026_01500_d_0000027.jpg,F1280,9,3,0,0,0,0.75,0.0
0000026_01500_d_0000027.jpg,DensK1,9,5,0,0,0,0.6428571428571429,0.0
0000026_01500_d_0000027.jpg,UnifAll,10,9,0,0,0,0.5263157894736842,0.0
0000026_01500_d_0000027.jpg,SAHI640,8,5,0,0,0,0.6153846153846154,0.0
0000026_04000_d_0000032.jpg,F640,13,1,0,0,0,0.9285714285714286,0.0
0000026_04000_d_0000032.jpg,F1280,14,2,0,0,0,0.875,0.0
0000026_04000_d_0000032.jpg,DensK1,13,1,0,0,0,0.9285714285714286,0.0
0000026_04000_d_0000032.jpg,UnifAll,14,6,0,0,0,0.7,0.0
0000026_04000_d_0000032.jpg,SAHI640,10,5,0,0,0,0.6666666666666666,0.0
0000253_00001_d_0000001.jpg,F640,76,30,0,106,76,0.7169811320754716,0.7169811320754716
0000253_00001_d_0000001.jpg,F1280,83,27,0,106,83,0.7545454545454545,0.7830188679245284
0000253_00001_d_0000001.jpg,DensK1,81,41,0,106,81,0.6639344262295082,0.7641509433962265
0000253_00001_d_0000001.jpg,UnifAll,82,43,0,106,82,0.656,0.7735849056603774
0000253_00001_d_0000001.jpg,SAHI640,77,44,0,106,77,0.6363636363636364,0.7264150943396226
0000086_01084_d_0000003.jpg,F640,42,32,0,132,33,0.5675675675675675,0.25
