pair,delta_small_recall,ci95_lo,ci95_hi,delta_precision,prec_ci_lo,prec_ci_hi,delta_mean_ms,ms_ci_lo,ms_ci_hi,n_images
F1280_vs_DensK1,0.04086772025143265,0.035484951944289536,0.04615574230398937,0.06814389094113271,0.06308713497700436,0.07312004782984913,-0.34044670802974925,-0.6630925606030201,-0.01369626090150718,1610
F640_vs_F1280,-0.16164660625408975,-0.16747568770298535,-0.15585369058436974,-0.004490900220189276,-0.010955354516394417,0.00183698114158678,-16.32260571416324,-16.610683555845753,-16.05248455885998,1610
F1280_vs_UnifAll,-0.05070294065158335,-0.05505843735877071,-0.04640538653954785,0.16294456699851234,0.1583313687768353,0.16765317912307903,-78.48601086974081,-79.45046162896179,-77.54546545832471,1610
F1280_vs_SAHI640,0.18199123554956276,0.17352908506363426,0.19078683962881307,0.3165627664946238,0.3090404774738726,0.32387419123330474,-339.5135924223791,-343.35956865038196,-335.63748913666166,1610
DensK1_vs_UnifAll,-0.09157066090301601,-0.09656362130606935,-0.08655623263728375,0.09480067605737963,0.09056549385387826,0.09925071825479624,-78.14556416171105,-79.0634079848947,-77.19152031563777,1610
DensK1_vs_SAHI640,0.1411235152981301,0.13107215679888684,0.15119202177713775,0.24841887555349107,0.24113992558587596,0.25553243954500215,-339.17314571434935,-343.0649138911035,-335.2768963510402,1610
