pair,role,n_images_with_small_gt,n_nonzero,median_diff_A_minus_B,mean_diff,statistic,pvalue,pvalue_holm
F1280_vs_DensK1,primary,1499,1089,0.0,0.03454272119281504,182331.5,2.996804562393593e-28,
F640_vs_F1280,secondary,1499,1214,-0.14285714285714288,-0.14873813203318384,27216.0,5.994009253754815e-172,2.397603701501926e-171
F1280_vs_UnifAll,secondary,1499,1092,-0.03703703703703709,-0.059353336759241794,93195.0,2.926894757415897e-86,2.926894757415897e-86
F1280_vs_SAHI640,secondary,1499,1282,0.1777777777777778,0.20285617897178293,28596.5,4.059598853651297e-183,2.0297994268256487e-182
DensK1_vs_UnifAll,secondary,1499,1029,-0.06666666666666665,-0.09389605795205681,7316.5,8.616550642921532e-161,2.5849651928764596e-160
DensK1_vs_SAHI640,secondary,1499,1266,0.1395348837209302,0.1683134577789679,55328.0,1.5899048742146046e-155,3.179809748429209e-155
