image,index,method,rep,n_dets,total_ms,n_windows,selected,consistent_with_rep0,global_ms,local_ms,merge_ms
0000316_00601_d_0000522.jpg,3,DensK1,1,34,34.01500001200475,1,[4],True,15.845600006286986,17.4031000060495,0.7662999996682629
0000316_00601_d_0000522.jpg,3,UnifAll,1,52,100.9040999924764,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000316_00601_d_0000522.jpg,3,SAHI640,1,48,347.2680999984732,-1,[],True,,,
0000316_00601_d_0000522.jpg,3,F640,2,19,16.18229999439791,0,[],True,,,
0000316_00601_d_0000522.jpg,3,F1280,2,27,31.13370000210125,0,[],True,,,
0000316_00601_d_0000522.jpg,3,DensK1,2,34,33.433200005674735,1,[4],True,16.70590000867378,15.665999992052093,1.061300004948862
0000316_00601_d_0000522.jpg,3,UnifAll,2,52,119.37010000110604,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000316_00601_d_0000522.jpg,3,SAHI640,2,48,445.1720000070054,-1,[],True,,,
0000295_00000_d_0000021.jpg,4,F640,0,55,17.77250001032371,0,[],,,,
0000295_00000_d_0000021.jpg,4,F1280,0,84,38.288400013698265,0,[],,,,
0000295_00000_d_0000021.jpg,4,DensK1,0,88,38.29589999804739,1,[4],,18.308500002603978,18.04509999055881,1.9423000048846006
0000295_00000_d_0000021.jpg,4,UnifAll,0,116,125.44180000259075,6,"[0, 1, 2, 3, 4, 5]",,,,
0000295_00000_d_0000021.jpg,4,SAHI640,0,98,393.6051999917254,-1,[],,,,
0000295_00000_d_0000021.jpg,4,F640,1,55,18.270200002007186,0,[],True,,,
0000295_00000_d_0000021.jpg,4,F1280,1,84,34.15289999975357,0,[],True,,,
0000295_00000_d_0000021.jpg,4,DensK1,1,88,36.388299995451234,1,[4],True,17.222599999513477,16.33689999289345,2.8288000030443072
0000295_00000_d_0000021.jpg,4,UnifAll,1,116,118.1256999989273,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000295_00000_d_0000021.jpg,4,SAHI640,1,98,362.9373999865493,-1,[],True,,,
0000295_00000_d_0000021.jpg,4,F640,2,55,18.290799998794682,0,[],True,,,
0000295_00000_d_0000021.jpg,4,F1280,2,84,33.4450999944238,0,[],True,,,
0000295_00000_d_0000021.jpg,4,DensK1,2,88,38.20049999922048,1,[4],True,17.15669999248348,17.97100000840146,3.0727999983355403
0000295_00000_d_0000021.jpg,4,UnifAll,2,116,145.59919999737758,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000295_00000_d_0000021.jpg,4,SAHI640,2,98,439.1292000073008,-1,[],True,,,
0000153_01201_d_0000001.jpg,5,F640,0,22,18.986900002346374,0,[],,,,
0000153_01201_d_0000001.jpg,5,F1280,0,43,27.977000005193986,0,[],,,,
0000153_01201_d_0000001.jpg,5,DensK1,0,42,32.688699997379445,1,[0],,15.85690000501927,15.83319999917876,0.9985999931814149
0000153_01201_d_0000001.jpg,5,UnifAll,0,46,45.69169999740552,2,"[0, 1]",,,,
0000153_01201_d_0000001.jpg,5,SAHI640,0,43,166.78529999626335,-1,[],,,,
0000153_01201_d_0000001.jpg,5,F640,1,22,17.543300011311658,0,[],True,,,
0000153_01201_d_0000001.jpg,5,F1280,1,43,28.959900009795092,0,[],True,,,
0000153_01201_d_0000001.jpg,5,DensK1,1,42,29.484700004104525,1,[0],True,14.49220000358764,13.789799995720387,1.2027000047964975
0000153_01201_d_0000001.jpg,5,UnifAll,1,46,45.24779999337625,2,"[0, 1]",True,,,
0000153_01201_d_0000001.jpg,5,SAHI640,1,43,166.44830000586808,-1,[],True,,,
0000153_01201_d_0000001.jpg,5,F640,2,22,15.823199995793402,0,[],True,,,
0000153_01201_d_0000001.jpg,5,F1280,2,43,30.919700002414174,0,[],True,,,
0000153_01201_d_0000001.jpg,5,DensK1,2,42,37.34890000487212,1,[0],True,18.300299998372793,17.708600003970787,1.3400000025285408
0000153_01201_d_0000001.jpg,5,UnifAll,2,46,50.88249999971595,2,"[0, 1]",True,,,
